threshold,TP,FN,FP,TN,Precision,Recall,F1,FPR,FNR
0.07029049940144397,100,0,85,15,0.5405405405405406,1.0,0.7017543859649124,0.85,0.0
0.07070833389671922,100,0,85,15,0.5405405405405406,1.0,0.7017543859649124,0.85,0.0
0.07112616839199447,100,0,85,15,0.5405405405405406,1.0,0.7017543859649124,0.85,0.0
0.07154400288726973,100,0,85,15,0.5405405405405406,1.0,0.7017543859649124,0.85,0.0
0.07196183738254498,100,0,85,15,0.5405405405405406,1.0,0.7017543859649124,0.85,0.0
0.07237967187782024,100,0,85,15,0.5405405405405406,1.0,0.7017543859649124,0.85,0.0
0.0727975063730955,100,0,87,13,0.5347593582887701,1.0,0.6968641114982579,0.87,0.0
0.07321534086837075,100,0,87,13,0.5347593582887701,1.0,0.6968641114982579,0.87,0.0
0.07363317536364601,100,0,87,13,0.5347593582887701,1.0,0.6968641114982579,0.87,0.0
0.07405100985892127,100,0,87,13,0.5347593582887701,1.0,0.6968641114982579,0.87,0.0
0.07446884435419653,100,0,88,12,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
0.07488667884947178,100,0,88,12,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
0.07530451334474704,100,0,88,12,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
0.0757223478400223,100,0,88,12,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
0.07614018233529755,100,0,88,12,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
0.0765580168305728,100,0,88,12,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
0.07697585132584805,100,0,88,12,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
0.07739368582112331,100,0,88,12,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
0.07781152031639857,100,0,88,12,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
0.07822935481167383,100,0,88,12,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
0.07864718930694908,100,0,88,12,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
0.07906502380222434,100,0,88,12,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
0.0794828582974996,100,0,88,12,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
0.07990069279277486,100,0,88,12,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
0.08031852728805011,100,0,88,12,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
0.08073636178332537,100,0,88,12,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
0.08115419627860063,100,0,88,12,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
0.08157203077387588,100,0,88,12,0.5319148936170213,1.0,0.6944444444444444,0.88,0.0
0.08198986526915114,100,0,89,11,0.5291005291005291,1.0,0.6920415224913494,0.89,0.0
0.08240769976442638,100,0,89,11,0.5291005291005291,1.0,0.6920415224913494,0.89,0.0
0.08282553425970164,100,0,89,11,0.5291005291005291,1.0,0.6920415224913494,0.89,0.0
0.0832433687549769,100,0,90,10,0.5263157894736842,1.0,0.6896551724137931,0.9,0.0
0.08366120325025216,100,0,90,10,0.5263157894736842,1.0,0.6896551724137931,0.9,0.0
0.08407903774552741,100,0,90,10,0.5263157894736842,1.0,0.6896551724137931,0.9,0.0
0.08449687224080267,100,0,91,9,0.5235602094240838,1.0,0.6872852233676976,0.91,0.0
0.08491470673607793,100,0,91,9,0.5235602094240838,1.0,0.6872852233676976,0.91,0.0
